Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;2;37;100,0;24;24;0;37;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt i retning Nova;37;100,0;24;24;0;37;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt i retning Pyramiden;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;1;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;2;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt i retning Nova;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt i retning Pyramiden;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;1;33;100,0;24;24;0;33;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;2;25;100,0;24;24;0;25;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;Totalt i retning Nova;25;100,0;24;24;0;25;0,00;-;-;-;-;-;-;-;-
